Star,Title_cn,Title_en
5星,Settlement on Quay,Settlement on Quay
5星,毕德寮(富力盈通店),
5星,宾宾酒家(34年老店),
5星,无牌咖啡,
5星,风味馆,
5星,荣生集北水蛇粥(光孝路店),
5星,南信牛奶甜品专家,
5星,陈添记(十五甫三巷店),
4星,南园酒家,
5星,老碗(湘子庙街店),
5星,西安光圈CLUB,
5星,冯家老潼关肉夹馍,
5星,太平洋咖啡(钟楼店),
5星,小雁塔,
5星,回音公园概念书店,
5星,SMOOTH+思木甜品,
5星,大华1935,
5星,邢老三糊辣汤(丈八北路店),
0星,重庆希尔顿酒店,Hilton Chongqing
4星,三亚凯莱仙人掌度假酒店,Cactus Resort Sanya
4星,长滩岛西湾酒店(暂停营业),Boracay West Cove
4星,江氏家常菜,
5星,费巩故居,
4星,水市口茶餐厅,
5星,桥里桥,
5星,苏州枫桥景区,
5星,世德堂,
5星,崇本堂,
5星,周庄古镇-沈万三水塚,
4星,赵记梅子(复兴路一店),
5星,财神湾,
5星,糕饼稻香村,
4星,太古城中心,Cityplaza
4星,义顺牛奶公司(旺角西洋菜街),Yee Shun Dairy Company
4星,天津自然博物馆,
4星,霍元甲故居,
4星,羊上树,
5星,三亚早安海上花家庭旅馆,
4星,沫沫奶茶(人和路店),
4星,秋霞圃,
4星,曲水园,
5星,好再来川菜馆,
4星,广州荔苑粥粉世家,
4星,红房子西菜馆(淮海店),
4星,老盛昌苏州汤包馆(新市南路店),
4星,苏浙汇(南京西路店)(黄浦店),Jardin de Jade
4星,春风得意楼茶馆,
5星,万石岩,
4星,梅龙镇酒家(南京西路总店),
4星,穹六人间,
4星,厦门福佑大饭店,Fortune Hotel Xiamen
5星,海口观澜湖温泉酒店,Mission Hills Resort Haikou
4星,哈利法塔,Burj Khalifa
4星,迪拜博物馆,Dubai Museum
4星,贾希里城堡,Al Jahili Fort
4星,谢赫扎耶德大清真寺,Sheikh Zayed Grand Mosque Center
4星,迪拜喷泉,The Dubai Fountain
4星,Reel Cinema,Reel Cinema
4星,趣志家儿童乐园,KidZania Dubai
4星,迪拜购物中心,The Dubai Mall
4星,香料市集,Spice Souk
4星,迪拜水上巴士,Dubai Water Bus
4星,澳门四季酒店,"Four Seasons Hotel Macao, Cotai Strip"
4星,澳门银河酒店,Galaxy Macau
4星,黑沙海滩,Black beach
4星,澳门大学（横琴校区）,University of Macau
4星,永利娱乐场,
4星,龙环葡韵住宅式博物馆,
4星,谭公庙,
4星,北帝庙,
4星,官也街,
4星,新八佰伴百货,
4星,澳门旅游塔,
4星,主教山小堂,ChapelofOurLadyofPenha
4星,中央图书馆,
4星,基督教公墓,
4星,大三巴牌坊,Ruins of St. Paul
4星,望厦炮台,
4星,大炮台,
4星,合肥元一希尔顿酒店,Hilton Hefei
4星,三河古镇酒家(桐城南路店),
4星,三祖禅寺,
4星,天柱山国家地质公园,
4星,观澜湖华谊冯小刚电影公社,
4星,海口观澜湖火山岩矿温泉,
3星,诗巴丹岛,Sipadan
3星,马布岛,Mabul Island
3星,仙本那,Semporna
3星,婆罗爱潜潜水中心,
3星,香格里拉酒店落日吧,Sunset Bar at Shangri-la Tanjung Aru
3星,美人鱼的梦,mantanani dream
3星,美人鱼岛,Mantanani Island
4星,美人鱼的梦,mantanani dream
4星,美人鱼之梦度假村,Mantanani Dream Resort
4星,查龙寺,Wat Chalong Temple
5星,垦丁伯利恒天空好蓝民宿&Villa,Bethlehem BnB Villa Kenting
3星,慈湖,
4星,慈湖陵寝,
3星,自由广场,Taipei free square
5星,鹅銮鼻公园,Ngoluanpi Park
4星,安平树屋,Anping Tree House
4星,安平古堡,AnpingFort
4星,台湾盐博物馆,
3星,台南孔庙,
4星,赤崁楼大士殿,FortProvintia
5星,溪头自然教育园区,
5星,诚品书店(敦南店),Eslite Bookstore (Dunnan)
