question,answer,review number,name,gender,location,overseas_place,overseas_time,domestic_place,domestic_time,overseas_number,domestic_number,,,
0,7,21,老张(北京),MGenderMale,北京,"Ethiopia', 'Kenya', 'Myanmar'","['2015.04', '2015.04', '2014.05']","台北, 成都","['2014.05', '2018.04']",3,2,,,
0,5,2,带着幸福流浪(北京),MGenderMale,北京,,[],"香港, 重庆, 成都, 北京, 西安, 婺源, 武汉, 色达, 苏州, 西塘, 墨脱","['2013.04', '2014.04', '2013.12', '2013.12', '2013.12', '2013.03', '2014.04', '2014.04', '2011.12', '2012.03', '2013.12']",0,11,,,
0,1,85,jenny_zhen(北京),MGenderFemale,北京,"Germany', 'Austria', 'Czech', 'Malaysia'","['2017.02', '2017.02', '2017.02', '2016.04']","九寨沟, 拉萨, 北京, 平遥, 林芝, 三亚, 大同, 珠穆朗玛峰, 大连, 晋中","['2013.05', '2015.06', '2015.10', '2015.10', '2015.06', '2015.10', '2015.09', '2015.10', '2015.10', '2015.09']",4,10,,,
1,49,165,CCChen(北京),MGenderFemale,北京,"Japan', 'Korea', 'Vietnam'","['2016.10', '2015.12', '2015.11']","香港, 台北, 北京, 青岛, 花莲, 垦丁, 南京, 庐山, 长白山, 大连, 天津, 三亚, 鼓浪屿, 厦门, 台南","['2015.01', '2013.11', '2013.11', '2014.05', '2013.11', '2013.11', '2013.11', '2013.11', '2014.06', '2013.11', '2013.11', '2013.11', '2015.09', '2015.09', '2015.06']",3,15,,,
0,88,58,倦飞的天使(北京),MGenderFemale,北京,"The United Mexican States', 'Cuba', 'Ecuador', 'New Zealand', 'Morocco', 'Spain', 'Turkey', 'The Republic of Kazakhstan', 'Jordan', 'Israel'","['2017.07', '2017.07', '2017.01', '2017.01', '2017.01', '2017.01', '2015.08', '2015.08', '2015.05', '2015.05']","北京, 阿坝, 拉萨, 丽江, 林芝, 保定, 天津, 杭州, 成都, 大理, 稻城, 阿里, 云冈石窟","['2014.03', '2014.03', '2014.03', '2014.03', '2014.03', '2014.03', '2014.03', '2014.03', '2014.03', '2014.03', '2014.03', '2013.07', '2014.03']",10,13,,,
0,0,9,胖墩鱼(北京),MGenderFemale,北京,"Thailand', 'Korea', 'Japan', 'Indonesia', 'United States of America', 'Cambodia', 'Czech', 'Switzerland'","['2015.07', '2015.07', '2014.01', '2015.07', '2015.07', '2011.04', '2014.01', '2014.01']",,[],8,0,,,
0,0,12,david(北京),MGenderMale,北京,"Laos', 'Thailand'","['2014.10', '2014.05']",,[],2,0,,,
0,0,29,五轮(北京),MGenderMale,北京,Japan',['2014.05'],"西安, 咸阳, 北京","['2014.05', '2014.05', '2014.05']",1,3,,,
0,0,9,乱弹(北京),MGenderFemale,北京,"The United Republic of Tanzania', 'Kenya', 'United Kingdom'","['2014.05', '2013.10', '2014.05']",,[],3,0,,,
0,0,2,电炉猫(北京),MGenderFemale,北京,"Japan', 'Cambodia', 'Korea', 'Thailand'","['2017.08', '2017.03', '2017.03', '2017.03']",,[],4,0,,,
